"","treatment","inoculum","length_mean","length_se","avgDiam_mean","avgDiam_se","rootVolume_mean","rootVolume_se","FRL_mean","FRL_se","CRL_mean","CRL_se","FRS_mean","FRS_se","CRS_mean","CRS_se","FVOL_mean","FVOL_se","lenPerVol_mean","lenPerVol_se"
"1","NT","NI",2992.775124,169.011128641242,0.261204,0.00701933159211046,1.633,0.12548807380252,5949.89798,337.515995426516,16.593212,2.43063687270998,400.131432,24.8913090033956,11.124804,1.5147571389993,26528.629456,1479.10007673399,3.21458122878625,0.181537195103375
"2","NT","PC",2321.07222,171.997687208775,0.321032,0.0086449517446118,1.86076,0.158199897597944,4604.861856,341.890202160293,18.141396,3.11722150260174,369.393304,28.9586805960501,12.168396,2.08595289550907,13082.135852,1217.54448013654,2.49309583243824,0.184745099042722
"3","T","NI",1386.375872,124.577992596485,0.367348,0.0154196888425156,1.36012,0.0818887928840083,2745.70738,249.314001631101,13.19988,1.62055910336525,239.157812,15.7142595002197,9.053248,1.12123620492621,5331.534996,691.336355487996,1.48912553383459,0.133810948009114
"4","T","PC",2097.909828,193.88447469699,0.310272,0.0122285070225273,1.4608,0.113808186583098,4164.876556,386.568904289706,13.469728,1.79786307856967,311.095268,25.3103091937822,8.972132,1.12715330672333,14878.098416,1806.88980821904,2.25339401503759,0.208254000748647
